OrderID,ItemType,SalesChannel,OrderPriority,City,State,Type,UnitsSold,UnitCost,UnitSellPrice,TotalRevenue,TotalCost,TotalProfit
686800706,Cosmetics,Offline,M,Delhi,Delhi,Municipal Corporation / Corporation,8446,263.33,437.2,3692591.2,2224085.18,1468506.02
185941302,Vegetables,Online,M,Bengaluru,Karnataka,Municipal Corporation / Corporation,3018,90.93,154.06,464953.08,274426.74,190526.34
246222341,Baby Food,Offline,C,Ahmedabad,Gujarat,Municipal Corporation / Corporation.,1517,159.42,255.28,387259.76,241840.14,145419.62
161442649,Cereal,Offline,C,Hyderabad,Telangana,Municipal Corporation / Corporation,3322,117.11,205.7,683335.4,389039.42,294295.98
645713555,Fruits,Offline,H,Chennai,Tamil Nadu,Municipal Corporation / Corporation.,9845,6.92,9.33,91853.85,68127.4,23726.45
683458888,Cereal,Online,H,Kolkata,West Bengal,Municipal Corporation / Corporation,9528,117.11,205.7,1959909.6,1115824.08,844085.52
679414975,Cereal,Online,H,Pune,Maharashtra,Urban Agglomeration,2844,117.11,205.7,585010.8,333060.84,251949.96
208630645,Clothes,Offline,M,Jaipur,Rajasthan,Municipal Corporation / Corporation,7299,35.84,109.28,797634.72,261596.16,536038.56
266467225,Vegetables,Online,H,Surat,Gujarat,Municipal Corporation / Corporation.,2428,90.93,154.06,374057.68,220778.04,153279.64
118598544,Vegetables,Offline,H,Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,4800,90.93,154.06,739488,436464,303024
451010930,Clothes,Online,M,Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,3012,35.84,109.28,329151.36,107950.08,221201.28
220003211,Snacks,Offline,M,Nagpur,Maharashtra,Municipal Corporation / Corporation,2694,97.44,152.58,411050.52,262503.36,148547.16
702186715,Household,Online,C,Patna,Bihar,Municipal Corporation / Corporation.,1508,502.54,668.27,1007751.16,757830.32,249920.84
544485270,Cosmetics,Online,C,Indore,Madhya Pradesh,Municipal Corporation / Corporation.,4146,263.33,437.2,1812631.2,1091766.18,720865.02
714135205,Fruits,Offline,L,Thane,Maharashtra,Municipal Corporation / Corporation.,7332,6.92,9.33,68407.56,50737.44,17670.12
448685348,Clothes,Offline,H,Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,4820,35.84,109.28,526729.6,172748.8,353980.8
405997025,Office Supplies,Online,H,Visakhapatnam,Andhra Pradesh,Municipal Committee.,2397,524.96,651.21,1560950.37,1258329.12,302621.25
414244067,Beverages,Online,M,Vadodara,Gujarat,Municipal Committee.,2880,31.79,47.45,136656,91555.2,45100.8
821912801,Clothes,Online,C,Firozabad,Uttar Pradesh,Census town.,1117,35.84,109.28,122065.76,40033.28,82032.48
247802054,Household,Offline,L,Ludhiana,Punjab,Municipal Corporation / Corporation.,8989,502.54,668.27,6007079.03,4517332.06,1489746.97
531023156,Snacks,Online,C,Rajkot,Gujarat,Urban Agglomeration,407,97.44,152.58,62100.06,39658.08,22441.98
880999934,Clothes,Online,L,Agra,Uttar Pradesh,Municipal Corporation / Corporation.,6313,35.84,109.28,689884.64,226257.92,463626.72
